YIM-3601, CAPTUR, RENAULT, 143888, prata, diesel
CEG-8952, FIESTA, FORD, 29083, preto, gnv
BXT-6317, TORO, FIAT, 201045, cinza, gnv
DQS-8520, I30, HYUNDAI, 95701, cinza, diesel
IVS-8363, GOLF, VOLKSWAGEN, 183215, azul, gasolina
CYF-7093, C3, CITROËN, 46529, prata, diesel
ZEK-5370, CIVIC, HONDA, 223480, marrom, diesel
IQO-2818, CAPTUR, RENAULT, 254940, preto, gasolina
HET-1447, MARCH, NISSAN, 147697, preto, flex
WSH-8187, RENEGADE, JEEP, 215037, verde, flex
JWH-2835, CAPTUR, RENAULT, 135671, vermelho, gasolina
PPX-6886, CAPTIVA, CHEVROLET, 239093, verde, alcool
AIB-9714, COBALT, CHEVROLET, 239108, branco, gasolina
YTU-4048, SAVEIRO, VOLKSWAGEN, 237433, vermelho, diesel
GHQ-4675, HR-V, HONDA, 147517, marrom, alcool
MSH-2335, A3, AUDI, 115988, marrom, gasolina
OHU-8798, RENEGADE, JEEP, 220934, azul, gnv
QYK-1824, COBALT, CHEVROLET, 159223, branco, alcool
ZUO-5892, ONIX, CHEVROLET, 85541, azul, gasolina
HCX-8801, GOL,VOLKSWAGEN, 151582, azul, gnv
DIZ-3489, DUSTER, RENAULT, 114579, cinza, gasolina
TDR-6682, GOL,VOLKSWAGEN, 91465, verde, gasolina
JFX-7167, ETIOS SEDAN, TOYOTA, 125955, branco, alcool
DTO-1843, DUSTER, RENAULT, 74248, marrom, flex
QLZ-4313, 207, PEUGEOT, 66768, branco, gnv
LRQ-3555, FIESTA, FORD, 205584, preto, flex
HZR-4802, CAPTUR, RENAULT, 195472, verde, flex
LAL-7583, SAVEIRO, VOLKSWAGEN, 113827, preto, gasolina
UAQ-2796, TUCSON, HYUNDAI, 82430, verde, gasolina
SYB-8762, SANDERO, RENAULT, 126512, vermelho, gasolina
YYW-9064, ETIOS SEDAN, TOYOTA, 97273, vermelho, flex
BMG-6872, FUSCA, VOLKSWAGEN, 23652, marrom, flex
NIN-4346, KICKS, NISSAN, 252333, marrom, alcool
WAA-9708, ONIX, CHEVROLET, 39021, azul, flex
FXJ-6796, ONIX, CHEVROLET, 166586, cinza, gasolina
LFQ-8425, FOCUS, FORD, 41985, branco, diesel
